mu solver sloppy rel_delta max_res_increase tts res
0.0008 mg single 1e-4 def 2.00862 6.134952e-13
0.0008 mg single 1e-4 def 1.96973 5.596408e-13
0.0008 mg single 1e-4 def 2.02202 4.158692e-13
0.0008 cg single 1e-4 def 509.077 4.566115e-11
0.0008 cg single 1e-4 def 472.715 5.000686e-11
0.0008 cg single 1e-4 def 416.888 5.687624e-11
0.0008 cg half 1e-2 def 526.755 1.217271e-05
0.0008 cg half 1e-2 def 526.924 5.971904e-06
0.0008 cg half 1e-2 def 526.839 4.753635e-06
0.0008 cg half 1e-1 def 527.167 1.003622e-08
0.0008 cg half 1e-1 def 527.067 4.260709e-09
0.0008 cg half 1e-1 def 527.071 3.620416e-09
0.0008 cg half 1e-1 (20,100) 524.948 1.003622e-08
0.0008 cg half 1e-1 (20,100) 524.877 4.260709e-09
0.0008 cg half 1e-1 (20,100) 524.784 3.620416e-09
0.0008 cg half alt def 26.4976 1.237279e-03
0.0008 cg half alt def 26.7411 1.629931e-03
0.0008 cg half alt def 26.4008 9.363746e-04
0.0008 cg half alt (20,100) 30.3593 1.237588e-03
0.0008 cg half alt (20,100) 30.6388 1.630245e-03
0.0008 cg half alt (20,100) 265.917 9.703388e-04
0.0016 mg single 1e-4 def 1.29758 4.930334e-13
0.0016 mg single 1e-4 def 1.16044 3.999235e-13
0.0016 mg single 1e-4 def 1.14781 5.793666e-13
0.0016 cg single 1e-4 def 125.967 3.736401e-11
0.0016 cg single 1e-4 def 119.108 3.821248e-11
0.0016 cg single 1e-4 def 118.387 4.115287e-11
0.0016 cg half 1e-2 def 526.873 6.782267e-10
0.0016 cg half 1e-2 def 526.869 5.806445e-10
0.0016 cg half 1e-2 def 526.629 4.700288e-10
0.0016 cg half 1e-1 def 113.788 2.871032e-11
0.0016 cg half 1e-1 def 116.417 2.837163e-11
0.0016 cg half 1e-1 def 114.52 3.170312e-11
0.0016 cg half 1e-1 (20,100) 113.302 2.871032e-11
0.0016 cg half 1e-1 (20,100) 115.973 2.837163e-11
0.0016 cg half 1e-1 (20,100) 114.051 3.170312e-11
0.0016 cg half alt def 14.3047 7.674752e-04
0.0016 cg half alt def 14.3431 1.919339e-04
0.0016 cg half alt def 14.1632 6.057504e-04
0.0016 cg half alt (20,100) 17.6794 7.676418e-04
0.0016 cg half alt (20,100) 124.205 2.009005e-04
0.0016 cg half alt (20,100) 211.233 6.285142e-04
0.0032 mg single 1e-4 def 1.02262 4.435438e-13
0.0032 mg single 1e-4 def 0.988962 5.425688e-13
0.0032 mg single 1e-4 def 0.986327 4.081993e-13
0.0032 cg single 1e-4 def 35.444 3.261966e-11
0.0032 cg single 1e-4 def 34.3659 3.353633e-11
0.0032 cg single 1e-4 def 33.084 3.575631e-11
0.0032 cg half 1e-2 def 148.585 8.087639e-12
0.0032 cg half 1e-2 def 140.402 7.120899e-12
0.0032 cg half 1e-2 def 127.997 7.192800e-12
0.0032 cg half 1e-1 def 18.7168 6.587414e-11
