label      a           mpi         L       ntraj
cA12       0.091       135         12      8000
cA16       0.091       135         16      8000
cA24       0.091       135         24      8000
cA48       0.091       135         48      8000
cA64       0.091       135         64      6000
cA96       0.091       135         96      4000
cA128      0.091       135         128     4000
cB64       0.080       135         64      3200
cB96       0.080       135         96      2500
cC80       0.068       135         80      3200
cC112      0.068       135         112     2500
cD96       0.057       135         96      5000
cE112      0.050       135         112     7500
cE144      0.050       135         144     5000
