profile	1.1.0	1.1.0-bbf27d48a-sm_80	cpu_arch=x86_64,gpu_arch=sm_80,cuda_version=11.5.50	# Last updated Fri Jul 29 21:33:24 2022

  total time	     percent	cum. percent	       calls	 time / call	          volume	name	aux	comment
     136.708	     8.71126	     8.71126	     1074480	 0.000127232	        8x16x4x4	N4quda12DslashCoarseIfssLi2ELi24ELb1ELb0ELb0ELNS_10DslashTypeE2EEE	policy_kernel,GPU-offline,vol=2048,parity=1,precision=4,order=2,Ns=2,Nc=24,TwistFlavor=1,comm=0011,full,halo=00001111	# 2371.99 Gflop/s, 1242.40 GB/s, tuning took 0.708236 seconds at Mon Jul 11 18:32:05 2022
     78.9856	     5.03308	     13.7443	      150457	 0.000524971	   32x64x16x16x2	N4quda4blas16multi_axpyBzpcx_IdEE	GPU-offline,vol=1048576,parity=1,precision=4,order=4,Ns=4,Nc=3,TwistFlavor=2,vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3,TwistFlavor=2,Nxz=1,Nyw=1	# 239.69 Gflop/s, 1342.25 GB/s, tuning took 0.041075 seconds at Mon Jul 11 18:23:36 2022
     68.8195	     4.38529	     18.1296	     7906656	   8.704e-06	         2x4x2x2	N4quda12DslashCoarseIfssLi2ELi32ELb1ELb0ELb0ELNS_10DslashTypeE2EEE	policy_kernel,GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=32,TwistFlavor=1,comm=0011,full,halo=00001111	# 963.29 Gflop/s, 498.82 GB/s, tuning took 0.095227 seconds at Mon Jul 11 18:33:03 2022
     61.5648	       3.923	     22.0526	       95230	 0.000646485	   32x64x16x16x2	N4quda17NdegTwistedCloverINS_20NdegTwistedCloverArgIfLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=interior,comm=0011,commDim=0011,xpay,parity=1	# 3128.77 Gflop/s, 2520.53 GB/s, tuning took 0.359249 seconds at Mon Jul 11 18:23:27 2022
     61.1098	     3.89401	     25.9466	       95230	 0.000641707	   32x64x16x16x2	N4quda17NdegTwistedCloverINS_20NdegTwistedCloverArgIfLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=interior,comm=0011,commDim=0011,xpay,dagger,parity=1	# 3152.07 Gflop/s, 2539.30 GB/s, tuning took 0.357844 seconds at Mon Jul 11 18:23:10 2022
     56.7216	     3.61438	      29.561	       95230	 0.000595627	   32x64x16x16x2	N4quda31NdegTwistedCloverPreconditionedINS_34NdegTwistedCloverPreconditionedArgIfLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=interior,comm=0011,commDim=0011,parity=1	# 3311.42 Gflop/s, 2735.75 GB/s, tuning took 0.398588 seconds at Mon Jul 11 18:23:18 2022
     56.5915	     3.60609	     33.1671	       95230	 0.000594261	   32x64x16x16x2	N4quda31NdegTwistedCloverPreconditionedINS_34NdegTwistedCloverPreconditionedArgIfLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=interior,comm=0011,commDim=0011,dagger,parity=1	# 3319.03 Gflop/s, 2742.04 GB/s, tuning took 0.397884 seconds at Mon Jul 11 18:23:01 2022
     56.3933	     3.59347	     36.7606	     7906656	 7.13238e-06	         2x4x2x2	N4quda9GhostPackIfsL16QudaFieldOrder_s2ELi2ELi32EEE	GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=32,TwistFlavor=1,halo_prec=2,comm=0011,topo=1148,order=0123,dest=00002222,nFace=1,spins_per_thread=2,colors_per_thread=2,shmem=0	# 0.00 Gflop/s, 6.89 GB/s, tuning took 0.010408 seconds at Mon Jul 11 18:33:03 2022
     50.8916	     3.24289	     40.0035	     3953328	 1.28731e-05	         2x4x2x2	N4quda10CopySpinorIffLi2ELi32ENS_11colorspinor12FieldOrderCBIfLi2ELi32ELi1EL16QudaFieldOrder_s2EffLb0ELb0EEES4_EE	GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=32,TwistFlavor=1	# 0.00 Gflop/s, 2.55 GB/s, tuning took 0.011163 seconds at Mon Jul 11 18:33:03 2022
     49.4183	     3.14901	     43.1525	       94504	 0.000522923	   32x64x16x16x2	N4quda4blas9axpyZpbx_IdEE	GPU-offline,vol=1048576,parity=1,precision=4,order=4,Ns=4,Nc=3,TwistFlavor=2,vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3,TwistFlavor=2	# 192.50 Gflop/s, 1347.51 GB/s, tuning took 0.047101 seconds at Mon Jul 11 18:23:36 2022
     46.3805	     2.95544	     46.1079	        4036	   0.0114917	 bytes=150994944	cudaMemcpyDefault	copy,cuda_gauge_field.cpp,576	# 0.00 Gflop/s, 13.14 GB/s, tuning took 0.081319 seconds at Mon Jul 11 18:22:35 2022
     44.6742	     2.84671	     48.9546	       86163	 0.000518485	   32x64x16x16x2	N4quda4blas15tripleCGUpdate_IdEE	GPU-offline,vol=1048576,parity=1,precision=2,order=8,Ns=4,Nc=3,TwistFlavor=2,vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3,TwistFlavor=2	# 291.22 Gflop/s, 1302.41 GB/s, tuning took 0.030673 seconds at Mon Jul 11 18:24:53 2022
      34.897	     2.22369	     51.1783	      140590	 0.000248218	     32x64x16x16	N4quda27TwistedCloverPreconditionedINS_16TwistedCloverArgIsLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=interior,comm=0011,commDim=0011,parity=1	# 3580.20 Gflop/s, 1640.13 GB/s, tuning took 0.405525 seconds at Mon Jul 11 18:25:19 2022
     33.7811	     2.15258	     53.3309	       91047	 0.000371029	   32x64x16x16x2	N4quda31NdegTwistedCloverPreconditionedINS_34NdegTwistedCloverPreconditionedArgIsLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=interior,comm=0011,commDim=0011,dagger,parity=1	# 5315.94 Gflop/s, 2301.88 GB/s, tuning took 0.306384 seconds at Mon Jul 11 18:24:27 2022
     33.5636	     2.13872	     55.4696	       91047	  0.00036864	   32x64x16x16x2	N4quda31NdegTwistedCloverPreconditionedINS_34NdegTwistedCloverPreconditionedArgIsLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=interior,comm=0011,commDim=0011,parity=1	# 5350.40 Gflop/s, 2316.80 GB/s, tuning took 0.305778 seconds at Mon Jul 11 18:24:40 2022
     33.1596	     2.11298	     57.5826	       91047	 0.000364203	   32x64x16x16x2	N4quda17NdegTwistedCloverINS_20NdegTwistedCloverArgIsLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=interior,comm=0011,commDim=0011,xpay,dagger,parity=1	# 5553.78 Gflop/s, 2345.03 GB/s, tuning took 0.251742 seconds at Mon Jul 11 18:24:34 2022
