profile	1.1.0	1.1.0-bbf27d48a-sm_80	cpu_arch=x86_64,gpu_arch=sm_80,cuda_version=11.5.50	# Last updated Fri Jul 29 21:33:24 2022

  total time	     percent	cum. percent	       calls	 time / call	          volume	name	aux	comment
     327.025	     25.0061	     25.0061	     7906656	 4.13607e-05	         2x4x2x2	N4quda22DslashCoarsePolicyTuneINS_18DslashCoarseLaunchILb0EEEEE	policy,dslash,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=32,TwistFlavor=1,gauge_prec=2,halo_prec=2,comm=0011,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=11110011111,full	# 202.72 Gflop/s, 104.97 GB/s, tuning took 0.020962 seconds at Mon Jul 11 18:33:03 2022
     199.148	      15.228	      40.234	     1074480	 0.000185344	        8x16x4x4	N4quda22DslashCoarsePolicyTuneINS_18DslashCoarseLaunchILb0EEEEE	policy,dslash,vol=2048,parity=1,precision=4,order=2,Ns=2,Nc=24,TwistFlavor=1,gauge_prec=2,halo_prec=2,comm=0011,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=11110011111,full	# 1628.29 Gflop/s, 852.86 GB/s, tuning took 0.020339 seconds at Mon Jul 11 18:32:06 2022
     84.3834	     6.45241	     46.6864	       95230	 0.000886101	   32x64x16x16x2	N4quda31NdegTwistedCloverPreconditionedINS_34NdegTwistedCloverPreconditionedArgIfLi3ELi4EL21QudaReconstructType_s18EEEEE	policy,commDim=0011,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 2272.05 Gflop/s, 1931.24 GB/s, tuning took 0.133894 seconds at Mon Jul 11 18:23:27 2022
     79.1176	     6.04975	     52.7362	       95230	 0.000830805	   32x64x16x16x2	N4quda31NdegTwistedCloverPreconditionedINS_34NdegTwistedCloverPreconditionedArgIfLi3ELi4EL21QudaReconstructType_s18EEEEE	policy,commDim=0011,dagger,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 2423.27 Gflop/s, 2059.78 GB/s, tuning took 0.137941 seconds at Mon Jul 11 18:23:10 2022
      71.739	     5.48554	     58.2217	       95230	 0.000753323	   32x64x16x16x2	N4quda17NdegTwistedCloverINS_20NdegTwistedCloverArgIfLi3ELi4EL21QudaReconstructType_s18EEEEE	policy,commDim=0011,xpay,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 2739.33 Gflop/s, 2271.64 GB/s, tuning took 0.124871 seconds at Mon Jul 11 18:23:33 2022
     71.4138	     5.46068	     63.6824	       95230	 0.000749909	   32x64x16x16x2	N4quda17NdegTwistedCloverINS_20NdegTwistedCloverArgIfLi3ELi4EL21QudaReconstructType_s18EEEEE	policy,commDim=0011,xpay,dagger,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 2751.80 Gflop/s, 2281.98 GB/s, tuning took 0.123057 seconds at Mon Jul 11 18:23:16 2022
     53.3628	      4.0804	     67.7628	      140590	 0.000379563	     32x64x16x16	N4quda27TwistedCloverPreconditionedINS_16TwistedCloverArgIsLi3ELi4EL21QudaReconstructType_s18EEEEE	policy,commDim=0011,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 2585.78 Gflop/s, 1182.39 GB/s, tuning took 0.054986 seconds at Mon Jul 11 18:25:27 2022
     51.7749	     3.95898	     71.7218	       91047	 0.000568661	   32x64x16x16x2	N4quda31NdegTwistedCloverPreconditionedINS_34NdegTwistedCloverPreconditionedArgIsLi3ELi4EL21QudaReconstructType_s18EEEEE	policy,commDim=0011,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 3540.36 Gflop/s, 1578.41 GB/s, tuning took 0.081919 seconds at Mon Jul 11 18:24:47 2022
     50.7493	     3.88057	     75.6024	       91047	 0.000557397	   32x64x16x16x2	N4quda31NdegTwistedCloverPreconditionedINS_34NdegTwistedCloverPreconditionedArgIsLi3ELi4EL21QudaReconstructType_s18EEEEE	policy,commDim=0011,dagger,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 3611.90 Gflop/s, 1610.31 GB/s, tuning took 0.082288 seconds at Mon Jul 11 18:24:34 2022
     42.0408	     3.21467	      78.817	      109774	 0.000382976	     32x64x16x16	N4quda27TwistedCloverPreconditionedINS_16TwistedCloverArgIsLi3ELi4EL21QudaReconstructType_s18EEEEE	policy,commDim=0011,dagger,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 2562.74 Gflop/s, 1171.85 GB/s, tuning took 0.057760 seconds at Mon Jul 11 18:25:12 2022
