tunecache	1.1.0	1.1.0-bbf27d48a-sm_80	cpu_arch=x86_64,gpu_arch=sm_80,cuda_version=11.5.50	# Last updated Fri Jul 29 15:16:32 2022

          volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	aux.x	aux.y	aux.z	aux.w	time	comment
          131072	N4quda15TransformReduceINS_7maximumIfEENS_7complexIfEEjNS_8abs_max_IffEENS_8identityEEE	GPU-offline,batch_size=2	256	1	1	192	1	2	0	-1	-1	-1	-1	1.05046e-05	# 0.00 Gflop/s, 199.64 GB/s, tuning took 0.023746 seconds at Mon Jul 11 18:32:48 2022
          131072	N4quda15TransformReduceINS_7maximumIfEENS_7complexIiEEjNS_8abs_max_IfiEENS_11milc_mapperEEE	GPU-offline,batch_size=2	512	1	1	96	1	2	0	-1	-1	-1	-1	1.10018e-05	# 0.00 Gflop/s, 190.62 GB/s, tuning took 0.024666 seconds at Mon Jul 11 18:32:48 2022
       150994944	N4quda15TransformReduceINS_7maximumIfEENS_7complexIsEEjNS_8abs_max_IfsEENS_8identityEEE	GPU-offline,batch_size=2	1024	1	1	108	1	2	0	-1	-1	-1	-1	0.00113562	# 0.00 Gflop/s, 1063.70 GB/s, tuning took 9.641186 seconds at Mon Jul 11 18:28:21 2022
       16x16x4x4	N4quda10BlockOrthoIsfLi2ELi1ELi24ELi2ELi32EEE	GPU-offline,vol=4096,parity=2,precision=2,order=2,Ns=2,Nc=768,TwistFlavor=1,block_size=4x4x2x2,n_block_ortho=1,mVec=1	64	1	1	64	1	2	2049	1	-1	-1	-1	0.00108203	# 1476.89 Gflop/s, 430.52 GB/s, tuning took 0.174278 seconds at Mon Jul 11 18:32:46 2022
       16x16x4x4	N4quda10CalculateYILb0EL19QudaFieldLocation_s2ENS_13CalculateYArgILb0EfLi4ELi2ELi3ELi24ENS_5gauge10FieldOrderIfLi48ELi2EL21QudaGaugeFieldOrder_s2ELb1EsEENS4_IfLi48ELi2ELS5_2ELb1EiEENS4_IfLi3ELi1ELS5_2ELb1EfEENS_11colorspinor12FieldOrderCBIfLi4ELi3ELi24EL16QudaFieldOrder_s2EssLb0ELb0EEESC_SC_NS_6clover10FieldOrderIfLi3ELi4EL22QudaCloverFieldOrder_s4EEEEEEE	GPU-offline,vol=1048576,parity=2,precision=2,order=2,Ns=4,Nc=72,TwistFlavor=1,comm=0011,computeCoarseDiagonal,GPU-device	256	1	1	8	2	24	0	1	1	1	1	3.94971e-06	# 49.78 Gflop/s, 398.22 GB/s, tuning took 0.031112 seconds at Mon Jul 11 18:31:38 2022
       16x16x4x4	N4quda10CalculateYILb0EL19QudaFieldLocation_s2ENS_13CalculateYArgILb0EfLi4ELi2ELi3ELi24ENS_5gauge10FieldOrderIfLi48ELi2EL21QudaGaugeFieldOrder_s2ELb1EsEENS4_IfLi48ELi2ELS5_2ELb1EiEENS4_IfLi3ELi1ELS5_2ELb1EfEENS_11colorspinor12FieldOrderCBIfLi4ELi3ELi24EL16QudaFieldOrder_s2EssLb0ELb0EEESC_SC_NS_6clover10FieldOrderIfLi3ELi4EL22QudaCloverFieldOrder_s4EEEEEEE	GPU-offline,vol=1048576,parity=2,precision=2,order=2,Ns=4,Nc=72,TwistFlavor=1,comm=0011,computeConvert,GPU-device	64	2	1	32	24	24	0	1	1	1	1	8.9088e-05	# 2.21 Gflop/s, 1271.17 GB/s, tuning took 0.656490 seconds at Mon Jul 11 18:29:21 2022
       16x16x4x4	N4quda10CalculateYILb0EL19QudaFieldLocation_s2ENS_13CalculateYArgILb0EfLi4ELi2ELi3ELi24ENS_5gauge10FieldOrderIfLi48ELi2EL21QudaGaugeFieldOrder_s2ELb1EsEENS4_IfLi48ELi2ELS5_2ELb1EiEENS4_IfLi3ELi1ELS5_2ELb1EfEENS_11colorspinor12FieldOrderCBIfLi4ELi3ELi24EL16QudaFieldOrder_s2EssLb0ELb0EEESC_SC_NS_6clover10FieldOrderIfLi3ELi4EL22QudaCloverFieldOrder_s4EEEEEEE	GPU-offline,vol=1048576,parity=2,precision=2,order=2,Ns=4,Nc=72,TwistFlavor=1,comm=0011,computeRescale,GPU-device	256	1	1	8	48	24	0	1	1	1	1	6.2336e-05	# 3.15 Gflop/s, 1211.14 GB/s, tuning took 0.610416 seconds at Mon Jul 11 18:40:01 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeUV,mma,compute_max,dim=0,dir=back,nFace=1,GPU-device	32	1	1	64	12	16	0	3	0	0	0	5.92715e-05	# 40760.19 Gflop/s, 21653.85 GB/s, tuning took 0.004934 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeUV,mma,compute_max,dim=0,dir=fwd,nFace=1,GPU-device	32	1	1	64	12	16	0	3	0	0	0	5.89101e-05	# 41010.26 Gflop/s, 21786.70 GB/s, tuning took 0.004991 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeUV,mma,compute_max,dim=1,dir=back,nFace=1,GPU-device	32	1	1	64	12	16	0	3	0	0	0	5.96329e-05	# 40513.16 Gflop/s, 21522.62 GB/s, tuning took 0.005024 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeUV,mma,compute_max,dim=1,dir=fwd,nFace=1,GPU-device	32	1	1	64	12	16	0	2	0	0	0	5.96932e-05	# 40472.29 Gflop/s, 21500.90 GB/s, tuning took 0.005034 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeUV,mma,compute_max,dim=2,dir=back,nFace=1,GPU-device	32	1	1	64	12	16	0	2	0	0	0	5.93318e-05	# 40718.81 Gflop/s, 21631.87 GB/s, tuning took 0.005006 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeUV,mma,compute_max,dim=2,dir=fwd,nFace=1,GPU-device	32	1	1	64	12	16	0	2	0	0	0	5.93318e-05	# 40718.81 Gflop/s, 21631.87 GB/s, tuning took 0.004998 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeUV,mma,compute_max,dim=3,dir=back,nFace=1,GPU-device	32	1	1	64	12	16	0	2	0	0	0	5.93318e-05	# 40718.81 Gflop/s, 21631.87 GB/s, tuning took 0.005077 seconds at Mon Jul 11 18:32:48 2022
