ensemble      tau   ntraj  beta   mpi   L     T  a    state
cA211.08.64   1.0   6000   1.726  135   64  128  0.091 "planned"
cA211.08.48   1.0   6000   1.726  135   48   96  0.091 "ongoing"
cA211.12.48   1.0   3000   1.726  170   48   96  0.091 "done"
cA211.30.32   1.0   10000  1.726  250   32   64  0.091 "done"
cA211.40.24   1.0   5000   1.726  290   24   48  0.091 "done"
cA211.53.24   1.0   5000   1.726  340   24   48  0.091 "done"
cB211.072.48  1.0   3000   1.778  135   48   96  0.080 "ongoing"
cB211.072.64  1.0   3500   1.778  135   64  128  0.080 "done"
cB211.072.96  1.0   3000   1.778  135   96  128  0.080 "ongoing"
cB211.25.48   1.5   5000   1.778  250   48   96  0.080 "done"
cB211.25.32   1.5   4000   1.778  250   32   64  0.080 "done"
cB211.25.24   1.0   5000   1.778  250   24   48  0.080 "done"
cB211.14.48   1.5   2800   1.778  190   48  128  0.080 "done"
cB211.14.64   1.5   4400   1.778  190   64  128  0.080 "done"
cC211.20.48   1.0   2700   1.836  250   48   96  0.068 "done"
cC211.12.64   1.0   3000   1.836  190   64  128  0.068 "ongoing"
cC211.06.80   1.0   3100   1.836  135   80  160  0.068 "done"
cC211.06.112  1.0   3000   1.836  135   112 224  0.068 "ongoing"
cD211.054.96  1.0   2500   1.900  135   96  192  0.057 "done"
cD211.17.64   1.0   3000   1.900  250   64  128  0.057 "ongoing"
cE211.044.112 1.0   2500   1.960  135   112 224  0.049 "planned"
