tts prec
2.905834e+01 double
2.223296e+01 double
1.883896e+01 double
2.210116e+01 double
1.856553e+01 double
2.186400e+01 double
1.239750e+00 double
3.414603e+00 double
1.625590e+01 double
1.279733e+01 double
3.390743e+00 double
1.208835e+00 double
1.197117e+00 double
1.208764e+00 double
1.198795e+00 double
3.391897e+00 double
3.388456e+00 double
1.198744e+00 double
1.204301e+00 double
1.206653e+00 double
3.401630e+00 double
1.277792e+01 double
1.276886e+01 double
1.212612e+00 double
1.216351e+00 double
1.216195e+00 double
3.391151e+00 double
3.407347e+00 double
1.223763e+00 double
1.220801e+00 double
1.212092e+00 double
3.405863e+00 double
1.279696e+01 double
1.217468e+00 double
1.219237e+00 double
1.219114e+00 double
3.415526e+00 double
3.419690e+00 double
1.217079e+00 double
1.215254e+00 double
1.219612e+00 double
3.419704e+00 double
1.280875e+01 double
1.281168e+01 double
1.220113e+00 double
1.230754e+00 double
1.218332e+00 double
3.428050e+00 double
3.422671e+00 double
1.206955e+00 double
1.219611e+00 double
1.215697e+00 double
3.423685e+00 double
1.285484e+01 double
1.220423e+00 double
1.212809e+00 double
1.221297e+00 double
3.413364e+00 double
3.408699e+00 double
1.216772e+00 double
1.215819e+00 double
1.218943e+00 double
3.420931e+00 double
1.279433e+01 double
1.281576e+01 double
1.224276e+00 double
1.220841e+00 double
1.244449e+00 double
3.418874e+00 double
3.417598e+00 double
1.218790e+00 double
1.215953e+00 double
1.222700e+00 double
3.414941e+00 double
1.278373e+01 double
1.219930e+00 double
1.217102e+00 double
1.224076e+00 double
3.415505e+00 double
3.410574e+00 double
1.242850e+00 double
1.220722e+00 double
1.216555e+00 double
3.409619e+00 double
1.281272e+01 double
1.281813e+01 double
1.232110e+00 double
1.214926e+00 double
1.221793e+00 double
3.415128e+00 double
3.410710e+00 double
1.220051e+00 double
1.219579e+00 double
1.219477e+00 double
3.408655e+00 double
1.282080e+01 double
1.235455e+00 double
1.214226e+00 double
1.214291e+00 double
3.403712e+00 double
3.406240e+00 double
1.204019e+00 double
1.208736e+00 double
1.225726e+00 double
3.402518e+00 double
1.286875e+01 double
1.285932e+01 double
1.210782e+00 double
1.221677e+00 double
1.215621e+00 double
3.422855e+00 double
3.420818e+00 double
1.221980e+00 double
1.218928e+00 double
1.220789e+00 double
3.421604e+00 double
1.284009e+01 double
1.218356e+00 double
1.214146e+00 double
1.218862e+00 double
3.407669e+00 double
3.412676e+00 double
1.215787e+00 double
1.218653e+00 double
1.199547e+00 double
3.401264e+00 double
1.280232e+01 double
1.280231e+01 double
1.205922e+00 double
1.200585e+00 double
1.219552e+00 double
3.399509e+00 double
3.408046e+00 double
1.218011e+00 double
1.222785e+00 double
1.204757e+00 double
3.393516e+00 double
1.278763e+01 double
1.218578e+00 double
1.223769e+00 double
1.242277e+00 double
3.391052e+00 double
3.388405e+00 double
1.222743e+00 double
1.215272e+00 double
1.213258e+00 double
3.408296e+00 double
1.280462e+01 double
1.281372e+01 double
1.211437e+00 double
1.234364e+00 double
1.252266e+00 double
3.404538e+00 double
3.439136e+00 double
1.215168e+00 double
1.204286e+00 double
1.207254e+00 double
3.406916e+00 double
1.285747e+01 double
1.216771e+00 double
1.213005e+00 double
1.221946e+00 double
3.423532e+00 double
3.433057e+00 double
1.218800e+00 double
1.219360e+00 double
1.278769e+00 double
3.407292e+00 double
1.290655e+01 double
1.284214e+01 double
1.220894e+00 double
1.220654e+00 double
1.216562e+00 double
3.423881e+00 double
3.400033e+00 double
1.208340e+00 double
1.222532e+00 double
1.203974e+00 double
3.384514e+00 double
1.276842e+01 double
1.198332e+00 double
1.206252e+00 double
1.202625e+00 double
3.397650e+00 double
3.407655e+00 double
1.207284e+00 double
1.212262e+00 double
1.212749e+00 double
3.389156e+00 double
1.276697e+01 double
1.279363e+01 double
1.211090e+00 double
1.209396e+00 double
1.211633e+00 double
3.381796e+00 double
3.386409e+00 double
1.208829e+00 double
1.205218e+00 double
1.210726e+00 double
3.389770e+00 double
1.287270e+01 double
1.207346e+00 double
1.212794e+00 double
1.197398e+00 double
3.403107e+00 double
3.393184e+00 double
1.200025e+00 double
1.206926e+00 double
1.227318e+00 double
3.403856e+00 double
1.298471e+01 double
1.297673e+01 double
1.205409e+00 double
1.198988e+00 double
1.203909e+00 double
3.398774e+00 double
3.389092e+00 double
1.201033e+00 double
1.202949e+00 double
1.202477e+00 double
3.398443e+00 double
1.297798e+01 double
1.197009e+00 double
1.200232e+00 double
1.197870e+00 double
3.396491e+00 double
3.396002e+00 double
1.204610e+00 double
1.204450e+00 double
1.218622e+00 double
3.396208e+00 double
1.277844e+01 double
1.290710e+01 double
1.204157e+00 double
1.207360e+00 double
1.269144e+00 double
3.394842e+00 double
3.398174e+00 double
1.249291e+00 double
1.202019e+00 double
1.200447e+00 double
3.398725e+00 double
1.273907e+01 double
1.200492e+00 double
1.200817e+00 double
1.201446e+00 double
3.382899e+00 double
3.386255e+00 double
1.204374e+00 double
1.203742e+00 double
1.198987e+00 double
3.396493e+00 double
1.297655e+01 double
1.297318e+01 double
1.214682e+00 double
1.210704e+00 double
1.211598e+00 double
3.386477e+00 double
3.416872e+00 double
1.204309e+00 double
1.209359e+00 double
1.211144e+00 double
3.378272e+00 double
1.294698e+01 double
1.210763e+00 double
1.215064e+00 double
1.210892e+00 double
3.387623e+00 double
3.385593e+00 double
1.220036e+00 double
1.212476e+00 double
1.213318e+00 double
3.396051e+00 double
1.279438e+01 double
1.273965e+01 double
1.209941e+00 double
1.211090e+00 double
1.218641e+00 double
3.370472e+00 double
3.379674e+00 double
1.215742e+00 double
1.211907e+00 double
